,Unnamed: 0,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Payday Loan,Credit-Builder Loan,Mortgage Loan,Debt Consolidation Loan,Student Loan,Home Equity Loan,Auto Loan,Personal Loan,Not Specified,Credit_Score,Payment_of_Min_Amount
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,-500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,1385.0,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,1043.315978,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,998.8692968,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,825.2162699,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,810.7821527,,,,,,,,,,,
21,,,,,,,,967.0,,,,,,,,,,963.9215811,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,968.5555174,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,10000.0,895.4945832,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,10000.0,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,
